Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_Push,SW_SPST_PTS645,138.43,-33.428,0,top
C1,10 uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,151.90125,-65.84658,180,top
C2,.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,151.90125,-69.076,180,top
C3,1 uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,151.90125,-62.617164,0,top
C4,.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,123.698,-83.902,180,top
C5,22 uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,123.698,-78.516,0,top
C6,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,96.012,-83.312,90,top
C7,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,151.90125,-56.218332,0,top
D1,1N4007,D_SOD-123F,92,-43,90,top
D2,1N4007,D_SOD-123F,92.075,-74.6125,90,top
D3,1N4007,D_SOD-123F,145.0225,-73.406,0,top
F1,1.5A,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,136.398,-94.488,270,top
J1,AudioJack2,Jack_3.5mm_PJ320D_Horizontal,96.012,-99.06,90,top
LED_BUILTIN1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,129.92375,-32.0745,0,top
PWR_LED1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,112.268,-94.488,0,top
Q1,FDN340P,SOT-23,136.398,-87.960666,270,top
Q2,2N7002K,SOT-23,101.836,-42.6,180,top
Q3,2N7002K,SOT-23,101.836,-74.31,180,top
R1,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,151.90125,-59.417748,180,top
R2,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,105.156,-47.905,270,top
R3,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,91.44,-83.286,270,top
R4,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,146.532,-41.656,0,top
R5,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100.584,-83.286,90,top
R6,175,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,108.5,-34.824,270,top
R7,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,136.398,-78.486,180,top
R8,130,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,112.268,-90.424,180,top
R9,130,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,129.90125,-35.118916,0,top
R10,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,98,-39.1,90,top
R11,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,98,-70.64375,90,top
R12,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,106.934,-60.0716,0,top
R13,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,106.934,-56.8204,0,top
R14,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,106.934,-53.5692,0,top
R15,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,106.934,-63.3228,0,top
R16,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,108.5,-82.068,270,top
R17,175,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,105.156,-68.935,270,top
RLY1_LED1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.5,-38.5,90,top
RLY2_LED1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.5,-70.025,90,top
RST1,SW_Push,SW_SPST_PTS645,121,-33.428,0,top
U1,ESP32-WROOM-32U,ESP32-WROOM-32U,130.66,-57.9,180,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,123.698,-92.538,90,top
ZD1,5V,D_SOD-323_HandSoldering,136.398,-82.933333,0,top
